NUM_POSTE,NOM_USUEL,LAT,LON,ALTI,NDays,NTrop,TnMax,TnMoy,TxMax,TxMoy,TmMoy
51237002,ESTERNAY,48.742,3.579667,185,10,0,15.1,12.0,32.8,29.18,21.08
51242001,FAGNIERES-INRAE,48.939833,4.3085,105,10,0,16.7,12.469999999999999,32.1,29.369999999999997,21.78
51262001,FRIGNICOURT,48.701167,4.618,113,10,0,13.3,10.52,32.2,29.01,20.15
51298001,IGNY-COMBLIZY,49.016667,3.716833,225,10,0,16.5,13.39,31.9,29.2,21.68
51388003,MOURMELON-GRAND,49.1075,4.3585,115,10,0,12.2,9.05,32.3,29.090000000000003,20.06
51449002,REIMS-PRUNAY,49.209833,4.155333,95,10,0,13.3,10.530000000000001,32.1,28.580000000000002,20.330000000000002
51545001,SOMMESOUS,48.734167,4.2075,167,10,0,14.4,11.109999999999998,33.2,29.2,20.840000000000003
51588001,VALMY,49.085,4.775833,161,10,0,14.8,11.07,32.4,29.139999999999997,20.75
51590002,VANAULT,48.849667,4.771833,140,10,0,16.0,11.63,31.7,28.860000000000003,20.71
51595002,VATRY-AERO,48.777167,4.164667,179,10,0,15.6,13.180000000000001,31.4,28.020000000000003,21.19
52023002,AUBERIVE_SAPC,47.783,5.0535,349,10,0,10.7,7.62,32.9,29.380000000000003,19.14
52055001,BLECOURT,48.384167,5.067,348,10,0,17.5,14.2,31.8,28.71,21.669999999999998
52061002,BOURDONS_SAPC,48.162333,5.349667,304,10,0,9.9,7.12,32.6,29.160000000000004,18.880000000000003
52074002,BREUVANNES_SAPC,48.094333,5.602167,323,10,0,12.6,8.360000000000001,32.8,29.259999999999998,19.419999999999998
52084002,BUSSON_SAPC,48.328833,5.3605,387,10,0,14.8,11.33,31.6,28.439999999999998,20.249999999999996
52114001,CHATEAUVILLAIN,48.047,4.908,227,10,0,11.8,8.540000000000001,34.2,30.889999999999997,20.09
52123003,CHEVILLON_SAPC,48.522833,5.113833,170,10,0,13.7,10.2,32.7,29.77,20.65
