NUM_POSTE,NOM_USUEL,LAT,LON,ALTI,NTrop_5j_max,TnMoy_5j_max
15191001,ST ILLIDE,45.064,2.303833,635,0.0,14.76
15196001,ST MAMET,44.858833,2.310667,740,0.0,17.9
15207002,ST- PONCY_SAPC,45.178333,3.174167,805,0.0,9.239999999999998
15226001,SENEZERGUES,44.704,2.428167,530,0.0,16.3
15235002,LES TERNES,44.992833,3.001833,1007,0.0,8.98
15258004,VIC SUR CERE,44.965833,2.612167,657,0.0,13.62
16028001,BARBEZIEUX,45.464333,-0.170167,81,0.0,15.279999999999998
16078001,ANGOULEME - BRIE - CHAMPNIERS,45.728,0.220667,124,2.0,19.36
16089001,COGNAC,45.665,-0.315833,30,0.0,18.52
16113001,LA COURONNE,45.627833,0.099833,58,0.0,14.860000000000003
16193001,LOUZAC ST ANDRE,45.735833,-0.381833,51,0.0,18.28
16225001,MONTEMBOEUF,45.787167,0.543,247,5.0,21.419999999999995
16256001,PASSIRAC,45.334,-0.078667,114,0.0,14.959999999999999
16279001,RIOUX MARTIN,45.262,0.003333,81,0.0,15.4
16363001,SAULGOND_SAPC,45.956333,0.781667,228,0.0,18.0
16366001,SEGONZAC_SAPC,45.6145,-0.2235,62,0.0,17.979999999999997
16390001,TUSSON,45.949,0.062167,88,0.0,14.84
16403001,LE VIEUX CERIER_SAPC,45.9675,0.442,162,0.0,15.2
17093002,CHATEAU D'OLERON,45.862167,-1.204333,3,4.0,20.02
17111001,CLION,45.476833,-0.510333,35,0.0,15.440000000000001
17218001,MARANS,46.316333,-1.012167,2,1.0,18.779999999999998
17224001,MATHA,45.858667,-0.319667,38,0.0,16.2
17243002,MONTLIEU_SAPC,45.220167,-0.291833,89,0.0,17.240000000000002
17248001,MORTAGNE-SUR-GIRONDE_SAPC,45.477667,-0.789833,37,5.0,21.080000000000002
17268002,NUAILLE SUR BOUTONNE,46.019833,-0.406667,36,0.0,15.9
17300009,LA ROCHELLE-ILE DE RE,46.178,-1.193167,20,4.0,20.16
17306004,ROYAN-MEDIS,45.633,-0.974667,12,0.0,18.080000000000002
17308001,ST AGNANT,45.888,-0.984667,18,0.0,15.76
17318001,SAINT-CLEMENT DES BALEINES,46.243,-1.561667,10,3.0,19.82
17323001,CHASSIRON,46.046833,-1.411667,11,4.0,20.52
17339002,ST GERMAIN DE LUSIGNAN,45.458333,-0.409667,71,1.0,18.700000000000003
17353001,ST-LAURENT PREE-INRAE,45.988333,-1.027,3,0.0,17.5
17415003,SAINTES,45.761167,-0.652,38,0.0,17.020000000000003
17477001,VILLIERS_SAPC,45.9875,-0.152,106,0.0,14.16
18003003,LES AIX-D'ANG.,47.209667,2.552333,195,0.0,16.56
18015003,AUBIGNY-SUR-NERE,47.4995,2.427333,176,0.0,14.139999999999997
18033001,BOURGES,47.059167,2.359833,161,0.0,16.200000000000003
18036001,BRINAY,47.166667,2.081,131,0.0,15.62
18037001,BRINON,47.5645,2.262333,133,0.0,13.440000000000001
18047001,CHAPELLE-D'ANG_SAPC,47.373833,2.426667,190,0.0,12.6
18057003,CHATEAUMEILLANT,46.564,2.2175,243,0.0,11.5
18087001,DUN,46.878333,2.566167,160,0.0,13.559999999999999
18089001,EPINEUIL,46.563333,2.519833,228,0.0,13.760000000000002
18092001,AVORD,47.052167,2.642167,175,0.0,16.38
18109002,HENRICHEMONT,47.285833,2.579167,377,4.0,20.139999999999997
18125004,LERE,47.457833,2.893167,139,0.0,11.739999999999998
18172003,ORVAL RAD,46.731,2.467333,165,0.0,14.02
18175003,OUROUER,46.925333,2.803333,221,0.0,15.4
18187004,PREVERANGES,46.425333,2.2365,462,0.0,17.96
18207003,ST-FLORENT/CHER,46.989333,2.248667,146,0.0,14.5
18223003,ST-MARTIN-D'A.,47.200667,2.416833,172,0.0,15.5
