NUM_POSTE,NOM_USUEL,LAT,LON,ALTI,NDays,NTrop,TnMax,TnMoy,TxMax,TxMoy,TmMoy,lcz_source,lcz_category,lcz_dom_100m,lcz_dom_300m,lcz_dom_500m,ZONE
05101001,PELVOUX,44.866833,6.486667,1270,10,0,8.0,6.05,30.8,28.45,16.160000000000004,demuzere,bati_special,9.0,9,9,
05110001,PUY-ST-VINCENT,44.828833,6.492667,1388,10,0,11.2,8.639999999999999,29.0,26.43,17.199999999999996,demuzere,non_bati,11.0,12,12,
05120002,RISTOLAS,44.765667,6.9845,1670,10,0,5.4,2.72,26.9,23.3,13.15,demuzere,non_bati,12.0,12,12,
05126001,ROSANS,44.3875,5.462167,625,10,0,11.7,9.88,33.2,30.41,20.64,demuzere,bati_special,9.0,9,9,
05136002,ST CREPIN,44.7045,6.6,906,10,0,10.4,7.659999999999999,30.3,28.32,18.24,demuzere,non_bati,14.0,14,14,
05139002,ST ETIENNE-EN-DEVOLUY,44.6945,5.9405,1300,10,0,10.8,7.33,27.6,24.89,,demuzere,non_bati,12.0,12,12,
05139006,AGNIERES-EN-DEVOLUY,44.696167,5.880833,1244,10,0,8.9,5.609999999999999,27.3,25.21,15.88,demuzere,non_bati,12.0,12,12,
05142001,ST FIRMIN,44.7825,6.035,935,10,0,12.7,10.15,31.1,28.01,18.72,demuzere,non_bati,12.0,12,12,
05145002,ST JEAN-ST-NICOLAS,44.670833,6.209833,1210,10,0,12.8,10.170000000000002,27.1,25.250000000000004,17.57,demuzere,non_bati,12.0,12,12,
05157001,ST VERAN,44.6985,6.870167,1992,10,0,10.2,7.779999999999999,23.9,21.53,,demuzere,non_bati,14.0,14,14,
05158001,LE SAIX,44.475833,5.8155,801,10,0,11.6,8.76,31.8,28.879999999999995,18.94,demuzere,non_bati,9.0,12,12,
05170001,TALLARD,44.452167,6.033333,593,10,0,13.4,10.71,33.0,29.67,20.36,demuzere,non_bati,14.0,14,14,
05179001,VEYNES,44.536333,5.840667,823,10,0,12.8,9.86,31.0,28.9,19.25,demuzere,bati_special,12.0,9,9,
05181002,VILLAR D'ARENE,45.030833,6.361667,1665,10,0,6.5,4.069999999999999,25.3,23.130000000000003,13.960000000000004,demuzere,non_bati,12.0,12,12,
05182001,VILLAR LOUBIERE,44.826833,6.146,1072,10,0,12.5,9.6,29.7,27.379999999999995,17.910000000000004,demuzere,non_bati,12.0,12,12,
05183001,VILLAR ST PANCRACE,44.880333,6.640333,1310,10,0,11.1,8.46,29.7,26.98,17.5,demuzere,non_bati,12.0,12,12,
06004002,ANTIBES-GAROUPE,43.564667,7.133,75,10,4,21.6,17.93,32.6,28.55,22.7,demuzere,urbain_aere,11.0,6,6,Provence cotiere
06004004,ANTIBES-GOLF,43.579667,7.091167,13,10,1,20.2,15.46,32.7,28.34,22.12,demuzere,urbain_aere,8.0,6,6,Provence cotiere
06004009,ANTIBES_SAPC,43.599167,7.111167,32,10,0,19.3,15.000000000000004,32.2,27.62,21.88,demuzere,urbain_aere,6.0,6,6,Provence cotiere
06005001,ASCROS,43.922,7.013667,1173,10,0,19.0,14.76,26.9,23.36,18.85,demuzere,non_bati,12.0,9,11,
06016001,BEUIL-OBS,44.089833,6.988,1464,10,0,13.6,9.95,26.4,23.51,16.1,demuzere,non_bati,12.0,12,12,
06029001,CANNES,43.5565,6.9505,2,10,0,19.0,15.679999999999998,31.5,26.71,21.76,demuzere,bati_special,8.0,8,8,Provence cotiere
06033002,CARROS_SAPC,43.786667,7.209167,78,10,2,21.5,16.979999999999997,34.1,30.51,23.500000000000004,demuzere,bati_special,8.0,8,8,Provence cotiere
06037002,CAUSSOLS,43.752333,6.923167,1268,10,0,18.3,13.38,25.5,21.59,17.74,demuzere,non_bati,14.0,14,14,
06038001,CHATEAUNEUF GRASSE,43.678333,6.996167,379,10,3,21.6,17.14,30.9,27.380000000000003,22.37,demuzere,non_bati,12.0,11,11,
06050002,COURSEGOULES_SAPC,43.792,7.0485,985,10,0,17.6,13.87,27.3,24.0,19.12,demuzere,bati_special,9.0,9,9,
06059003,EZE,43.738833,7.365833,704,10,3,22.4,18.09,28.6,25.09,21.6,demuzere,non_bati,9.0,11,11,
06071001,GUILLAUMES-OBS,44.090667,6.852333,788,10,0,13.4,10.18,32.4,29.6,18.98,demuzere,non_bati,6.0,6,11,
06073005,ISOLA 2000,44.1895,7.149,1912,10,0,8.4,5.43,22.4,19.32,12.16,demuzere,non_bati,6.0,6,11,
06074005,LANTOSQUE_SAPC,43.972,7.307,550,10,0,16.0,12.220000000000002,32.4,29.59,20.09,demuzere,non_bati,9.0,11,11,
06075007,LEVENS,43.846333,7.21,691,10,0,17.6,15.49,28.6,25.21,20.410000000000004,demuzere,non_bati,9.0,12,12,
06077006,PEIRA CAVA,43.929167,7.363333,1443,10,0,16.2,13.03,26.1,22.79,17.669999999999995,demuzere,non_bati,12.0,11,11,
06079002,MANDELIEU LA NAPOULE_SAPC,43.523667,6.898667,104,10,0,19.0,16.07,32.4,28.110000000000003,22.37,demuzere,non_bati,12.0,12,12,Provence cotiere
06081001,LE MAS,43.813667,6.809333,1525,10,0,16.3,12.96,25.9,22.39,17.099999999999998,demuzere,non_bati,12.0,12,11,
06083005,MENTON,43.785833,7.488667,216,10,4,24.4,19.44,32.6,28.39,23.79,demuzere,urbain_aere,11.0,11,6,Provence cotiere
06086001,MOULINET,43.942,7.414667,817,10,0,16.9,13.38,30.2,27.06,19.51,demuzere,non_bati,9.0,12,11,
06088001,NICE,43.648833,7.209,2,10,4,22.8,19.01,29.7,25.450000000000003,22.610000000000003,demuzere,non_bati,16.0,16,16,Provence cotiere
06088007,NICE-RIMIEZ,43.738667,7.279167,238,10,2,20.9,17.279999999999998,30.2,26.58,22.22,demuzere,urbain_aere,6.0,6,6,Provence cotiere
06090002,PEGOMAS,43.602667,6.936667,109,10,0,19.5,16.44,33.3,29.3,22.87,demuzere,non_bati,12.0,12,11,Provence cotiere
