NUM_POSTE,NOM_USUEL,LAT,LON,ALTI,NTrop_glissant_max,TnMoy_glissant_max,window_days,episode
7338001,VERNOUX,44.8995,4.652333,561,0.0,17.4,5,vague-chaleur-juillet-2019
7338005,VERNOUX SA,44.893333,4.626667,510,0.0,15.48,5,vague-chaleur-juillet-2019
8001001,ACY-ROMANCE,49.500833,4.339167,99,2.0,19.0,5,vague-chaleur-juillet-2019
8046001,BANOGNE-RECOUVRANCE,49.571667,4.129167,130,3.0,20.8,5,vague-chaleur-juillet-2019
8089003,BUZANCY_SAPC,49.427333,4.9645,199,3.0,20.580000000000002,5,vague-chaleur-juillet-2019
8092001,CAUROY,49.346833,4.465167,139,3.0,18.72,5,vague-chaleur-juillet-2019
8105005,CHARLEVILLE-MEZ,49.782833,4.643167,145,0.0,14.960000000000003,5,vague-chaleur-juillet-2019
8145001,DOUZY,49.658,5.039833,153,0.0,16.78,5,vague-chaleur-juillet-2019
8207001,HAM-SUR-MEUSE,50.116,4.7795,109,1.0,17.7,5,vague-chaleur-juillet-2019
8239001,JUNIVILLE,49.397333,4.371667,90,0.0,15.7,5,vague-chaleur-juillet-2019
8244001,LAMETZ_SAPC,49.536667,4.689667,165,2.0,18.4,5,vague-chaleur-juillet-2019
8248002,LAUNOIS-SUR-VENCE_SAPC,49.671833,4.534667,218,2.0,17.759999999999998,5,vague-chaleur-juillet-2019
8255001,LINAY,49.616833,5.216833,177,0.0,15.2,5,vague-chaleur-juillet-2019
8296002,MONTCHEUTIN_SAPC,49.287333,4.809667,142,2.0,18.060000000000002,5,vague-chaleur-juillet-2019
8367002,ROCROI,49.918667,4.53,382,3.0,19.560000000000002,5,vague-chaleur-juillet-2019
8401001,SAULCES-CHAMPENOISES,49.423833,4.4925,147,3.0,19.9,5,vague-chaleur-juillet-2019
8419001,SIGNY-L'ABBAYE,49.686,4.418833,180,2.0,17.4,5,vague-chaleur-juillet-2019
8420002,SIGNY-LE-PETIT_SAPC,49.9135,4.288167,309,3.0,19.720000000000002,5,vague-chaleur-juillet-2019
8461001,VANDY,49.434167,4.705667,112,2.0,18.32,5,vague-chaleur-juillet-2019
9023002,ASCOU LAVAIL,42.725333,1.8885,1090,0.0,14.2,5,vague-chaleur-juillet-2019
9024004,ASTON,42.724167,1.691,1781,0.0,15.719999999999999,5,vague-chaleur-juillet-2019
9042003,LA BASTIDE DE S,43.024333,1.3885,420,0.0,16.6,5,vague-chaleur-juillet-2019
9067001,BRIE,43.202667,1.524333,265,2.0,19.5,5,vague-chaleur-juillet-2019
9071001,CADARCET,43.012667,1.501333,510,2.0,19.1,5,vague-chaleur-juillet-2019
9078002,CARCANIERES,42.695333,2.122167,1360,1.0,17.36,5,vague-chaleur-juillet-2019
9094001,CERIZOLS,43.126,1.063,374,0.0,17.419999999999998,5,vague-chaleur-juillet-2019
9099001,COS,42.970167,1.5645,519,0.0,18.48,5,vague-chaleur-juillet-2019
9161003,LERAN,42.990333,1.919167,391,1.0,17.639999999999997,5,vague-chaleur-juillet-2019
9181003,LE MAS D AZIL,43.0735,1.357667,293,1.0,19.080000000000002,5,vague-chaleur-juillet-2019
9194003,MIREPOIX SENESSE,43.102,1.8605,301,1.0,18.1,5,vague-chaleur-juillet-2019
9199002,MONTAUT,43.192167,1.6435,295,5.0,21.08,5,vague-chaleur-juillet-2019
9206001,MONTFERRIER,42.891833,1.781167,760,0.0,18.2,5,vague-chaleur-juillet-2019
9223001,OUST,42.877,1.213333,495,0.0,16.52,5,vague-chaleur-juillet-2019
9225005,PAMIERS VILLE,43.118833,1.607,283,5.0,21.66,5,vague-chaleur-juillet-2019
9250001,LES CASCADES,42.963667,1.748,530,2.0,19.2,5,vague-chaleur-juillet-2019
9277001,ST-YBARS,43.2515,1.4215,330,5.0,21.880000000000003,5,vague-chaleur-juillet-2019
9285400,PORT D'AULA-NIVOSE,42.77,1.114333,2140,0.0,15.36,5,vague-chaleur-juillet-2019
9289001,ST GIRONS,43.005333,1.106833,414,0.0,17.8,5,vague-chaleur-juillet-2019
9290400,SENTEIN EYLIE HAUT,42.835333,0.934667,1000,0.0,17.459999999999997,5,vague-chaleur-juillet-2019
9334004,VICDESSOS,42.771667,1.488167,750,0.0,16.5,5,vague-chaleur-juillet-2019
10002001,AILLEVILLE_SAPC,48.254167,4.685667,195,2.0,17.72,5,vague-chaleur-juillet-2019
10030001,TROYES-BARBEREY,48.324667,4.02,112,2.0,18.259999999999998,5,vague-chaleur-juillet-2019
10042001,BERULLE,48.179,3.663333,146,0.0,16.66,5,vague-chaleur-juillet-2019
10057001,BOUY-SUR-ORVIN,48.439833,3.504833,102,2.0,19.339999999999996,5,vague-chaleur-juillet-2019
10070001,CELLES-SUR-OURCE,48.0675,4.411333,275,3.0,20.700000000000003,5,vague-chaleur-juillet-2019
10099002,CHESSY-LES-PRES_SAPC,48.0255,3.915,119,1.0,16.439999999999998,5,vague-chaleur-juillet-2019
10102001,COLOMBE-LA-FOSSE-CIVC,48.261667,4.779667,252,3.0,19.26,5,vague-chaleur-juillet-2019
10119001,CUNFIN_SAPC,48.0365,4.6785,315,3.0,20.5,5,vague-chaleur-juillet-2019
10130001,DOSNON,48.609167,4.224667,115,1.0,16.520000000000003,5,vague-chaleur-juillet-2019
10141001,ESSOYES-CIVC,48.039167,4.493833,280,2.0,19.220000000000002,5,vague-chaleur-juillet-2019
10223001,MARCILLY-LE-HAY,48.346167,3.636,128,2.0,17.7,5,vague-chaleur-juillet-2019
10228002,MATHAUX-ETAPE,48.353167,4.472333,145,2.0,18.560000000000002,5,vague-chaleur-juillet-2019
10238001,MESNIL-ST-PERE,48.244833,4.322167,142,2.0,18.04,5,vague-chaleur-juillet-2019
10241001,METZ-ROBERT_SAPC,48.0745,4.101167,140,0.0,16.16,5,vague-chaleur-juillet-2019
10317002,LES-RICEYS-CIVC,47.981333,4.3305,274,3.0,19.459999999999997,5,vague-chaleur-juillet-2019
10323001,ROMILLY,48.503333,3.7495,77,1.0,16.839999999999996,5,vague-chaleur-juillet-2019
10350001,ST-MARDS,48.169833,3.789,227,3.0,20.580000000000002,5,vague-chaleur-juillet-2019
10360001,ST-POUANGE,48.238833,4.049833,122,1.0,17.48,5,vague-chaleur-juillet-2019
10372001,SOULAINES,48.399333,4.671333,138,2.0,17.76,5,vague-chaleur-juillet-2019
10438001,VITRY-LE-CROISE-CIVC,48.144333,4.554167,237,2.0,18.560000000000002,5,vague-chaleur-juillet-2019
11004001,ALAIGNE,43.1125,2.098333,293,4.0,20.939999999999998,5,vague-chaleur-juillet-2019
11012001,ARGELIERS,43.308167,2.911667,31,3.0,20.580000000000002,5,vague-chaleur-juillet-2019
